,0,1,2,3
0,ru,113,000D3A240C719A8711E68ABA13F8B73F,Астрахань-1
1,ru,188,000D3A240C719A8711E68ABA13F9272E,Сыктывкар-6
2,ru,306,000D3A240C719A8711E68ABA13F9DC36,Махачкала-2
3,ru,463,000D3A23B0DC80DC11E719D8DED641D4,Москва 1-9
4,ru,816,000D3A24D2B7A94311E8706D7479309B,Москва 0-16
5,ru,921,000D3A38B306A94511E8FAE8ED338EE6,Сургут-3
6,ru,943,000D3A21DA51A81111E91D6342296AA8,Москва 1-19
7,ru,1014,000D3A22FA54A81411E985F1D0C2D774,Москва 1-20
8,ru,1049,000D3A21DA51A81211E9E090D7C30F3F,Москва 1-25
9,ru,1098,000D3A22FA54A81411EA3B6B6C7318D7,Москва 1-26
10,ru,1308,000D3AAC9DCABB2E11EC3C8330DE60E0,Нижний Новгород-4
11,ru,1343,000D3AAC9DCABB2E11EC8402A238B235,Уфа-7
12,ru,3,000D3A240C719A8711E68ABA13F7FE13,Сыктывкар-1
13,ru,5,000D3A240C719A8711E68ABA13F806D0,Сыктывкар-2
14,ru,7,000D3A240C719A8711E68ABA13F80A16,Ухта-3
15,ru,9,000D3A240C719A8711E68ABA13F80DA9,Смоленск-1
16,ru,16,000D3A240C719A8711E68ABA13F815F6,Самара-1
17,ru,17,000D3A240C719A8711E68ABA13F8183C,Сарапул-1
18,ru,18,000D3A240C719A8711E68ABA13F81AD0,Челябинск-1
19,ru,21,000D3A240C719A8711E68ABA13F81FAA,Белгород-1
20,ru,24,000D3A240C719A8711E68ABA13F82835,Смоленск-2
21,ru,27,000D3A240C719A8711E68ABA13F82CCD,Октябрьский-1
22,ru,28,000D3A240C719A8711E68ABA13F83099,Самара-2
23,ru,29,000D3A240C719A8711E68ABA13F83227,Сыктывкар-3
24,ru,31,000D3A240C719A8711E68ABA13F835B3,Ульяновск-1
25,ru,34,000D3A240C719A8711E68ABA13F837F0,Таганрог-1
26,ru,36,000D3A240C719A8711E68ABA13F83CEA,Долгопрудный-1
27,ru,44,000D3A240C719A8711E68ABA13F8462C,Энгельс-1
28,ru,46,000D3A240C719A8711E68ABA13F8491C,Красноярск-1
29,ru,48,000D3A240C719A8711E68ABA13F84C2D,Абакан-1
30,ru,49,000D3A240C719A8711E68ABA13F84F37,Гатчина-1
31,ru,63,000D3A240C719A8711E68ABA13F859A0,Нижнекамск-1
32,ru,65,000D3A240C719A8711E68ABA13F85EB3,Майкоп-1
33,ru,66,000D3A240C719A8711E68ABA13F860BF,Самара-3
34,ru,68,000D3A240C719A8711E68ABA13F863BA,Королев-1
35,ru,70,000D3A240C719A8711E68ABA13F866CA,Махачкала-1
36,ru,72,000D3A240C719A8711E68ABA13F869F5,Мытищи-1
37,ru,73,000D3A240C719A8711E68ABA13F86C32,Ульяновск-2
38,ru,75,000D3A240C719A8711E68ABA13F870CF,Реутов-1
39,ru,77,000D3A240C719A8711E68ABA13F8742E,Альметьевск-1
40,ru,78,000D3A240C719A8711E68ABA13F8761F,Сыктывкар-5
41,ru,80,000D3A240C719A8711E68ABA13F8787D,Ростов-на-Дону-1
42,ru,82,000D3A240C719A8711E68ABA13F87B6D,Уссурийск-1
43,ru,83,000D3A240C719A8711E68ABA13F88754,Смоленск-3
44,ru,85,000D3A240C719A8711E68ABA13F88A3D,Химки-1
45,ru,86,000D3A240C719A8711E68ABA13F88D0A,Самара-4
46,ru,88,000D3A240C719A8711E68ABA13F890CF,Колпино-1
47,ru,91,000D3A240C719A8711E68ABA13F89478,Новороссийск-1
48,ru,94,000D3A240C719A8711E68ABA13F8981B,Калининград-1
49,ru,97,000D3A240C719A8711E68ABA13F89CD7,Чайковский-1
50,ru,99,000D3A240C719A8711E68ABA13F89FC3,Тюмень-1
51,ru,101,000D3A240C719A8711E68ABA13F8A3DD,Бугульма-1
52,ru,103,000D3A240C719A8711E68ABA13F8A6F3,Волжский-1
53,ru,105,000D3A240C719A8711E68ABA13F8AAD9,Муром-1
54,ru,107,000D3A240C719A8711E68ABA13F8ADAA,Березники-1
55,ru,109,000D3A240C719A8711E68ABA13F8AFC8,Нефтекамск-1
56,ru,111,000D3A240C719A8711E68ABA13F8B2DF,Комсомольск-на-Амуре-1
57,ru,116,000D3A240C719A8711E68ABA13F8BAF8,Ачинск-1
58,ru,118,000D3A240C719A8711E68ABA13F8BDCE,Прокопьевск-1
59,ru,120,000D3A240C719A8711E68ABA13F8BF70,Ленинск-Кузнецкий-1
60,ru,121,000D3A240C719A8711E68ABA13F8C13F,Ростов-на-Дону-2
61,ru,125,000D3A240C719A8711E68ABA13F8C7DF,Нижневартовск-1
62,ru,127,000D3A240C719A8711E68ABA13F8CABA,Щелково-1
63,ru,129,000D3A240C719A8711E68ABA13F8CF5F,Зеленоград-1
64,ru,132,000D3A240C719A8711E68ABA13F8D3F2,Ангарск-1
65,ru,135,000D3A240C719A8711E68ABA13F8D7BE,Одинцово-1
66,ru,140,000D3A240C719A8711E68ABA13F8DD99,Саратов-1
67,ru,142,000D3A240C719A8711E68ABA13F8DF96,Дедовск-1
68,ru,144,000D3A240C719A8711E68ABA13F8E27B,Московский-1
69,ru,146,000D3A240C719A8711E68ABA13F8E611,Вологда-1
70,ru,148,000D3A240C719A8711E68ABA13F8E9A9,Балашиха-1
71,ru,150,000D3A240C719A8711E68ABA13F8ED18,Домодедово-1
72,ru,152,000D3A240C719A8711E68ABA13F8EFDF,Калуга-1
73,ru,154,000D3A240C719A8711E68ABA13F8F29E,Салават-1
74,ru,156,000D3A240C719A8711E68ABA13F8F56B,Сургут-1
75,ru,158,000D3A240C719A8711E68ABA13F8FA2D,Всеволожск-1
76,ru,160,000D3A240C719A8711E68ABA13F8FDB7,Петрозаводск-1
77,ru,162,000D3A240C719A8711E68ABA13F8FFD4,Петергоф-1
78,ru,164,000D3A240C719A8711E68ABA13F9028D,Балаково-1
79,ru,166,000D3A240C719A8711E68ABA13F9049B,Нефтеюганск-1
80,ru,168,000D3A240C719A8711E68ABA13F90757,Новочебоксарск-1
81,ru,170,000D3A240C719A8711E68ABA13F90BEA,Железнодорожный-1
82,ru,174,000D3A240C719A8711E68ABA13F911AC,Люберцы-1
83,ru,176,000D3A240C719A8711E68ABA13F91455,Тверь-1
84,ru,178,000D3A240C719A8711E68ABA13F9173B,Тобольск-1
85,ru,181,000D3A240C719A8711E68ABA13F91AEE,Благовещенск-1
86,ru,183,000D3A240C719A8711E68ABA13F91E4B,Шахты-1
87,ru,185,000D3A240C719A8711E68ABA13F9210C,Лобня-1
88,ru,187,000D3A240C719A8711E68ABA13F92555,Пушкино-1
89,ru,189,000D3A240C719A8711E68ABA13F92917,Гатчина-2
90,ru,190,000D3A240C719A8711E68ABA13F92AF4,Челябинск-2
91,ru,192,000D3A240C719A8711E68ABA13F92E8C,Абинск-1
92,ru,194,000D3A240C719A8711E68ABA13F930B1,Ханты-Мансийск-1
93,ru,197,000D3A240C719A8711E68ABA13F93453,Ивантеевка-1
94,ru,198,000D3A240C719A8711E68ABA13F93531,Орск-1
95,ru,200,000D3A240C719A8711E68ABA13F93755,Жуковский-1
96,ru,202,000D3A240C719A8711E68ABA13F938FC,Казань-1
97,ru,204,000D3A240C719A8711E68ABA13F93D34,Зеленокумск-1
98,ru,206,000D3A240C719A8711E68ABA13F94026,Вельск-1
99,ru,208,000D3A240C719A8711E68ABA13F94336,Выборг-1
100,ru,210,000D3A240C719A8711E68ABA13F94662,Новокуйбышевск-1
101,ru,212,000D3A240C719A8711E68ABA13F9491C,Тольятти-1
102,ru,214,000D3A240C719A8711E68ABA13F94C2E,Москва 1-1
103,ru,216,000D3A240C719A8711E68ABA13F9506E,Серпухов-1
104,ru,218,000D3A240C719A8711E68ABA13F953C8,Якутск-1
105,ru,220,000D3A240C719A8711E68ABA13F9566C,Новый Уренгой-1
106,ru,222,000D3A240C719A8711E68ABA13F95894,Сочи-1
107,ru,224,000D3A240C719A8711E68ABA13F95B51,Электросталь-1
108,ru,226,000D3A240C719A8711E68ABA13F95E8B,Нижний Тагил-1
109,ru,227,000D3A240C719A8711E68ABA13F9607F,Калининград-2
110,ru,229,000D3A240C719A8711E68ABA13F9659F,Находка-1
111,ru,231,000D3A240C719A8711E68ABA13F96755,Коммунарка-1
112,ru,233,000D3A240C719A8711E68ABA13F96A35,Рязань-1
113,ru,234,000D3A240C719A8711E68ABA13F96B95,Самара-5
114,ru,236,000D3A240C719A8711E68ABA13F96EAC,Киров-1
115,ru,238,000D3A240C719A8711E68ABA13F97188,Псков-1
116,ru,240,000D3A240C719A8711E68ABA13F9745D,Нижний Новгород-1
117,ru,242,000D3A240C719A8711E68ABA13F9773C,Новоалтайск-1
118,ru,244,000D3A240C719A8711E68ABA13F97A0D,Сергиев Посад-1
119,ru,246,000D3A240C719A8711E68ABA13F97C0D,Красногорск-1
120,ru,249,000D3A240C719A8711E68ABA13F981D6,Владивосток-1
121,ru,251,000D3A240C719A8711E68ABA13F9857E,Северск-1
122,ru,253,000D3A240C719A8711E68ABA13F9885E,Радужный-1
123,ru,254,000D3A240C719A8711E68ABA13F98A4E,Ростов-на-Дону-3
124,ru,256,000D3A240C719A8711E68ABA13F98D2A,Бердск-1
125,ru,258,000D3A240C719A8711E68ABA13F98FD7,Саранск-1
126,ru,261,000D3A240C719A8711E68ABA13F9946B,Ухта-2
127,ru,263,000D3A240C719A8711E68ABA13F99745,Орехово-Зуево-1
128,ru,265,000D3A240C719A8711E68ABA13F9993E,Уфа-1
129,ru,266,000D3A240C719A8711E68ABA13F99C6A,Тюмень-2
130,ru,268,000D3A240C719A8711E68ABA13F99F95,Коломна-1
131,ru,269,000D3A240C719A8711E68ABA13F9A0AF,Сургут-2
132,ru,272,000D3A240C719A8711E68ABA13F9A566,Дмитров-1
133,ru,274,000D3A240C719A8711E68ABA13F9A7A5,Екатеринбург-1
134,ru,276,000D3A240C719A8711E68ABA13F9AA92,Краснодар-1
135,ru,280,000D3A240C719A8711E68ABA13F9B07F,Ижевск-1
136,ru,282,000D3A240C719A8711E68ABA13F9B39E,Раменское-1
137,ru,284,000D3A240C719A8711E68ABA13F9B683,Бузулук-1
138,ru,286,000D3A240C719A8711E68ABA13F9BA20,Сызрань-1
139,ru,289,000D3A240C719A8711E68ABA13F9BDEC,Лениногорск-1
140,ru,290,000D3A240C719A8711E68ABA13F9C03B,Клин-1
141,ru,292,000D3A240C719A8711E68ABA13F9C24E,Ноябрьск-1
142,ru,293,000D3A240C719A8711E68ABA13F9C3F5,Москва 1-2
143,ru,294,000D3A240C719A8711E68ABA13F9C5C0,Москва 1-3
144,ru,295,000D3A240C719A8711E68ABA13F9CA5D,Москва 1-4
145,ru,296,000D3A240C719A8711E68ABA13F9CB9A,Москва 1-5
146,ru,298,000D3A240C719A8711E68ABA13F9CEFC,Камышин-1
147,ru,300,000D3A240C719A8711E68ABA13F9D0EE,Обнинск-1
148,ru,302,000D3A240C719A8711E68ABA13F9D4EC,Троицк-1
149,ru,304,000D3A240C719A8711E68ABA13F9D89F,Санкт-Петербург 1-1
150,ru,305,000D3A240C719A8711E68ABA13F9D9DB,Вологда-2
151,ru,308,000D3A240C719A8711E68ABA13F9E0EC,Братск-1
152,ru,310,000D3A240C719A8711E68ABA13F9E33A,Йошкар-Ола-1
153,ru,312,000D3A240C719A8711E68ABA13F9E5E7,Старый Оскол-1
154,ru,318,000D3A240C719A8711E68ABA13F9ED91,Батайск-1
155,ru,320,000D3A240C719A8711E68ABA13F9EF8C,Дубна-1
156,ru,324,000D3A240C719A8711E68ABA13F9F45D,Москва 5-1
157,ru,325,000D3A240C719A8711E68ABA13F9F718,Челябинск-3
158,ru,326,000D3A240C719A8711E68ABA13F9F834,Тольятти-2
159,ru,328,000D3A240C719A8711E68ABA13F9FBD7,Парголово-1
160,ru,330,000D3A240C719A8711E68ABA13F9FDB2,Сосновый Бор-1
161,ru,332,000D3A240C719A8711E68ABA13FA01F7,Ногинск-1
162,ru,334,000D3A240C719A8711E68ABA13FA03DC,Воскресенск-1
163,ru,336,000D3A240C719A8711E68ABA13FA0758,Великий Новгород-1
164,ru,338,000D3A240C719A8711E68ABA13FA0AA1,Норильск-1
165,ru,340,000D3A240C719A8711E68ABA13FA0D4D,Череповец-1
166,ru,342,000D3A240C719A8711E68ABA13FA0FED,Брянск-1
167,ru,344,000D3A240C719A8711E68ABA13FA1298,Иваново-1
168,ru,346,000D3A240C719A8711E68ABA13FA1542,Зеленоград-2
169,ru,348,000D3A240C719A8711E68ABA13FA18E4,Москва 6-1
170,ru,350,000D3A240C719A8711E68ABA13FA1CA5,Волгоград-1
171,ru,351,000D3A240C719A8711E68ABA13FA1E6A,Волгоград-2
172,ru,352,000D3A240C719A8711E68ABA13FA2022,Казань-2
173,ru,354,000D3A240C719A8711E68ABA13FA2374,Александров-1
174,ru,356,000D3A240C719A8711E68ABA13FA2697,Санкт-Петербург 2-1
175,ru,357,000D3A240C719A8711E68ABA13FA280D,Краснодар-2
176,ru,359,000D3A2480C380DA11E68B079901F74D,Миасс-1
177,ru,361,000D3A23B0DC80D811E68F98E099F565,Санкт-Петербург 0-1
178,ru,362,000D3A2480C380DA11E69233BBF7E5AE,Краснодар-3
179,ru,363,000D3A2480C380DA11E692CFB9F92484,Комсомольск-на-Амуре-2
180,ru,367,000D3A23B0DC80D811E695FF73251BE7,Петропавловск-Камчатский-1
181,ru,369,000D3A2480C380DA11E69B5653F263DA,Железногорск-1
182,ru,371,000D3A23B0DC80D811E69C18BA9FEDCC,Владимир-1
183,ru,373,000D3A23B0DC80D811E69F7AEC9EF9BF,Чебоксары-1
184,ru,377,000D3A23B0DC80D811E6A5B84DFAE2A8,Чехов-1
185,ru,379,000D3A2480C380DA11E6A5C46D12DC2F,Тамбов-1
186,ru,381,000D3A2480C380DA11E6A7E46319C145,Армавир-1
187,ru,383,000D3A23B0DC80D811E6AA3CFB7EF64F,Соль-Илецк-1
188,ru,385,000D3A2480C380DA11E6AB09170ACA94,Ковров-1
189,ru,387,000D3A2480C380DA11E6AB0AF997508C,Наро-Фоминск-1
190,ru,389,000D3A23B0DC80D911E6B24F4A188A9F,Москва 4-1
191,ru,391,000D3A26B5B080DD11E6B5380DB0BA49,Михайловск-1
192,ru,394,000D3A26B5B080DD11E6B5A4AB6B6DBD,Москва 3-2
193,ru,395,000D3A26B5B080DD11E6B5A4BFA5F338,Москва 3-3
194,ru,396,000D3A26B5B080DD11E6BBD1C5EA6748,Уфа-3
195,ru,397,000D3A26B5B080DD11E6C07F80F22904,Краснодар-4
196,ru,399,000D3A26B5B080DD11E6C5C104AF552E,Рыбинск-1
197,ru,400,000D3A26B5B080DD11E6C6B94301844F,Самара-6
198,ru,404,000D3A25D54580E011E6D8D6DDB182F6,Москва 1-6
199,ru,407,000D3A25D54580E011E6DD82385CA8B7,Пермь-1
200,ru,409,000D3A25D54580E011E6E466B0FD7005,Кудрово-1
201,ru,411,000D3A23B0DC80DB11E6E4996DEFB1EE,Новомосковск-1
202,ru,413,000D3A2480C380DB11E6EC82B073D692,Воронеж-1
203,ru,416,000D3A26B5B080DD11E6EED25CE51C88,Москва 0-1
204,ru,417,000D3A23B0DC80DB11E6EF54FD408485,Екатеринбург-2
205,ru,418,000D3A26B5B080DD11E6EF555C268A2E,Екатеринбург-3
206,ru,421,000D3A25D54580E011E6F1F35173F695,Нижневартовск-2
207,ru,425,000D3A2480C380DB11E6F340125788FA,Томск-1
208,ru,428,000D3A25D54580E011E6F762BE65C154,Димитровград-1
209,ru,430,000D3A2480C380DB11E6FF497FDA8855,Краснодар-5
210,ru,431,000D3A25D54580E011E6FF49DD4B226B,Краснодар-6
211,ru,433,000D3A2480C380DB11E6FF546D05813A,Владикавказ-1
212,ru,435,000D3A25D54580E011E70263ECF06668,Чебоксары-2
213,ru,436,000D3A26B5B080DE11E702B7926EDA73,Москва 4-2
214,ru,438,000D3A25D54580E011E704D222DF6C56,Старая Купавна-1
215,ru,441,000D3A25D54580E011E70A1B152B76FB,Воткинск-1
216,ru,442,000D3A26B5B080DF11E70FDDC8827252,Уфа-2
217,ru,444,000D3A26B5B080DF11E710840FE3F3B1,Санкт-Петербург 3-1
218,ru,445,000D3A23B0DC80DC11E710842D279726,Санкт-Петербург 3-2
219,ru,446,000D3A25D54580E111E710843857AF0E,Санкт-Петербург 3-3
220,ru,448,000D3A2480C380DC11E71084694C17D1,Санкт-Петербург 3-5
221,ru,449,000D3A23B0DC80DC11E7108475F900B2,Санкт-Петербург 3-6
222,ru,450,000D3A25D54580E111E710847FBC50EC,Санкт-Петербург 3-7
223,ru,451,000D3A26B5B080DF11E71084902575C3,Санкт-Петербург 3-8
224,ru,456,000D3A26B5B080DF11E713825F1D1717,Мичуринск-1
225,ru,458,000D3A25D54580E111E71525AB05D22E,Невинномысск-1
226,ru,460,000D3A26B5B080DF11E719421124F982,Корсаков-1
227,ru,461,000D3A23B0DC80DC11E719D8C5B8A196,Москва 1-7
228,ru,462,000D3A2480C380DC11E719D8D20F17C8,Москва 1-8
229,ru,464,000D3A25D54580E111E719D93D74BF67,Москва 1-10
230,ru,465,000D3A23B0DC80DC11E719D9468C2CCE,Москва 1-11
231,ru,466,000D3A25D54580E111E719D950FDEF81,Москва 1-12
232,ru,467,000D3A23B0DC80DC11E719D9B85843D5,Москва 1-13
233,ru,468,000D3A2480C380DC11E719D9C3513496,Москва 1-14
234,ru,469,000D3A26B5B080DF11E719D9CAEF8022,Москва 1-15
235,ru,470,000D3A23B0DC80DC11E719D9D4761DC1,Москва 1-16
236,ru,471,000D3A2480C380DC11E719D9FFA9F546,Москва 1-17
237,ru,472,000D3A2480C380DC11E71A9D1AF08C3C,Тольятти-3
238,ru,474,000D3A23B0DC80DC11E71C3878C43E4D,Щербинка-1
239,ru,476,000D3A23B0DC80DC11E71DBA03FBFC21,Набережные Челны-1
240,ru,479,000D3A23B0DC80DC11E71F6962616752,Каменск-Уральский-1
241,ru,481,000D3A25D54580E211E71F8F61109438,Ейск-1
242,ru,483,000D3A2480C380E111E72373CB5C0963,Санкт-Петербург 6-1
243,ru,485,000D3A25D54580E311E7237A04FB6CAA,Сертолово-1
244,ru,487,000D3A26B5B080DF11E72458D093CC0E,Рассказовка-1
245,ru,491,000D3A23B0DC80DC11E72B3EAABE4C79,Оренбург-1
246,ru,493,000D3A25D54580E411E72C0C29206285,Воронеж-2
247,ru,494,000D3A25D54580E411E72C55349F92D0,Кингисепп-1
248,ru,495,000D3A25D54580E411E72CAD63B95DE2,Оренбург-2
249,ru,496,000D3A2480C380E311E72F17A15E6CB7,Екатеринбург-4
250,ru,497,000D3A2480C380E411E731917BB10746,Набережные Челны-3
251,ru,499,000D3A23B0DC80DC11E731A23CD4DA83,Нягань-1
252,ru,503,000D3A23B0DC80DC11E7356BEFE789C6,Губкин-1
253,ru,505,000D3A25D54580E611E73A32CDEAE3AF,Шлиссельбург-1
254,ru,507,000D3A2480C380E411E73AF1F71C8041,Москва 12-1
255,ru,509,000D3A23B0DC80DC11E73B0C26B22F5A,Апрелевка-1
256,ru,510,000D3A23B0DC80DC11E73C6EC6E6F224,Самара-7
257,ru,512,000D3A23B0DC80DC11E73C8C2B16F239,Южно-Сахалинск-1
258,ru,516,000D3A26B5B080DF11E745FD0474B95C,Чита-1
259,ru,518,000D3A26B5B080DF11E745FF2D7A50F2,Улан-Удэ-1
260,ru,521,000D3A25D54580E611E746049160D34F,Кисловодск-1
261,ru,522,000D3A26B5B080DF11E749BE7892D241,Горно-Алтайск-1
262,ru,525,000D3A2480C380E711E74B701BDC489F,Пенза-1
263,ru,526,000D3A2480C380E711E74C307A5824FB,Москва 0-11
264,ru,530,000D3A2480C380E711E751ED02AD9F1A,Нахабино-1
265,ru,531,000D3A25D54580E611E754D70AA2272B,Шатура-1
266,ru,533,000D3A25D54580E611E754D8BE1E00DF,Балтийск-1
267,ru,535,000D3A25D54580E611E755E54CB88509,Котлас-1
268,ru,536,000D3A23B0DC80DC11E75684D2CBCBCC,Санкт-Петербург 0-2
269,ru,538,000D3A2480C380E711E75B0B23CB034D,Ставрополь-1
270,ru,540,000D3A25D54580E611E75B196D1B57F4,Кубинка-1
271,ru,542,000D3A26B5B080DF11E75BF1CB441693,Усинск-1
272,ru,544,000D3A23B0DC80DD11E75FDC53F28565,Ульяновск-3
273,ru,546,000D3A26B5B080E111E76ADA190B4388,Нижний Тагил-3
274,ru,548,000D3A25D54580E811E76BF515CE1598,Георгиевск-1
275,ru,550,000D3A2480C380E911E76D39E9AA9ED2,Тихорецк-1
276,ru,551,000D3A25D54580E911E76E12DDCE28FD,Калининград-3
277,ru,552,000D3A26B5B080E111E7736BC746D831,Набережные Челны-2
278,ru,553,000D3A2480C380E911E775E74BBD17B3,Санкт-Петербург 2-2
279,ru,555,000D3A25D54580E911E775E9C837D5EA,Ессентуки-1
280,ru,558,000D3A25D54580E911E7782F6DC87742,Новосибирск-1
281,ru,559,000D3A25D54580E911E7782F91AE7D34,Новосибирск-2
282,ru,561,000D3A26B5B080E111E77CD774C78959,Нижний Тагил-2
283,ru,563,000D3A23B0DC80DE11E781EB36D9190D,Астрахань-2
284,ru,565,000D3A26B5B080E111E7826AD6E00AC4,Москва 13-2
285,ru,567,000D3A25D54580E911E782733FF839FE,Чапаевск-1
286,ru,568,000D3A2480C380E911E786637EE3262D,Нижний Новгород-2
287,ru,570,000D3A23B0DC80DE11E787FDA20E5CFC,Магнитогорск-1
288,ru,572,000D3A23B0DC80DE11E78CB203E7B6C0,Конаково-1
289,ru,573,000D3A2480C380E911E78DBCBF2ABB28,Москва 1-18
290,ru,575,000D3A23B0DC80DE11E78E251A038767,Аксай Россия-1
291,ru,577,000D3A2A6F6780E511E796BE7C03A399,Хотьково-1
292,ru,579,000D3A2A6F6780E511E796DDD00E9043,Кувандык-1
293,ru,580,000D3A2A6F6780E511E7998143A38C13,Набережные Челны-4
294,ru,581,000D3A2A6F6780E511E7998176B590C7,Набережные Челны-5
295,ru,582,000D3A2155A180E411E79A1A1E9C37AC,Москва 4-10
296,ru,583,000D3A2155A180E411E79C94155E4FA5,Белгород-2
297,ru,585,000D3A2480C380F011E79EBD67C28F4D,Магадан-1
298,ru,587,000D3A2155A180E511E7A2A05115E231,Мирный-1
299,ru,591,000D3A23B0DC80DE11E7A9AB44E90BCF,Торжок-1
300,ru,593,000D3A2480C380F711E7AD98AF06953B,Салехард-1
301,ru,594,000D3A2155A180E811E7ADD657825465,Саратов-2
302,ru,595,000D3A23B0DC80DE11E7AF64C5232229,Москва 0-3
303,ru,598,000D3A2480C380FD11E7B01E162D4980,Москва 0-4
304,ru,601,000D3A26B5B080EE11E7B01EC97E910B,Москва 0-7
305,ru,603,000D3A26B5B080F111E7BC27A99CF347,Стерлитамак-1
306,ru,605,000D3A2480C3810E11E7BD751C665F09,Подольск-1
307,ru,606,000D3A2480C3811711E7C3CE8D934E8E,Новороссийск-2
308,ru,608,000D3A23B0DC80DE11E7C46DB1EAA54C,Благовещенск-2
309,ru,609,000D3A26B5B080F111E7C46EAF0AFC18,Вязьма-1
310,ru,611,000D3A23B0DC80DE11E7C540F9B72C44,Москва 2-1
311,ru,612,000D3A2480C3811711E7C612DE42C599,Москва 0-8
312,ru,614,000D3A23B0DC80DE11E7C612F8A1BD33,Москва 0-10
313,ru,615,000D3A23B0DC80DE11E7C6133A6D1347,Москва 0-12
314,ru,616,000D3A23B0DC80DE11E7C83E601E087F,Москва 0-2
315,ru,618,000D3A2480C3811811E7C9341772D9BC,Дзержинск-1
316,ru,620,000D3A23B0DC80DE11E7C947BA9FBEE4,Архангельск-1
317,ru,622,000D3A26B5B080F311E7CDBFAB091E32,Шушары-1
318,ru,623,000D3A2480C3811C11E7CF5B4BE5660C,Чебоксары-3
319,ru,625,000D3A23B0DC80DE11E7CF89FFDD0822,Красное Село-1
320,ru,627,000D3A23B0DC80DE11E7D345DB010270,Курган-1
321,ru,630,000D3A2480C3811F11E7D4632DA0120B,Тюмень-3
322,ru,638,000D3A26B5B080F311E7DC10F0657DD1,Казань-3
323,ru,640,000D3A23B0DC80DE11E7DF40FED251D5,Москва 14-1
324,ru,641,000D3A26B5B080F311E7E0138F9AC2F1,Тюмень-4
325,ru,644,000D3A2155A180EC11E7E3FC781BBB3A,Санкт-Петербург 4-1
326,ru,645,000D3A26B5B080F311E7E4993745705C,Пермь-2
327,ru,646,000D3A2480C3812311E7E4B22FFB0D64,Архангельск-2
328,ru,647,000D3A2155A180EC11E7E9811F9CE794,Орехово-Зуево-2
329,ru,651,000D3A2231E0A94B11E8003E280F4CE8,Тула-1
330,ru,652,000D3A258645A94D11E8006460706AB4,Москва 4-3
331,ru,655,000D3A2C5B29A94611E805D1F459D668,Москва 0-13
332,ru,657,000D3A258645A95111E807EB906FE3B2,Кашира-1
333,ru,659,000D3A2C5B29A94711E807F6E8382B35,Надым-1
334,ru,662,000D3A284715A95411E80BD934E0BCE0,Омск-1
